"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 09 23:14:51 BRT 2022","Sat Apr 09 23:14:58 BRT 2022","7240","","Testes Site Tesouro Direto","","","","Validar Video 3",""
"passed","Sat Apr 09 23:14:11 BRT 2022","Sat Apr 09 23:14:16 BRT 2022","4441","","Testes Site Tesouro Direto","","","","Validar Titulos em Tabela: Tesouro IPCA+ 2045",""
"passed","Sat Apr 09 23:14:40 BRT 2022","Sat Apr 09 23:14:47 BRT 2022","6645","","Testes Site Tesouro Direto","","","","Validar Video 2",""
"passed","Sat Apr 09 23:13:53 BRT 2022","Sat Apr 09 23:13:59 BRT 2022","5314","","Testes Site Tesouro Direto","","","","Validar Titulos em Tabela: Tesouro Prefixado 2025",""
"passed","Sat Apr 09 23:14:16 BRT 2022","Sat Apr 09 23:14:25 BRT 2022","9770","","Testes Site Tesouro Direto","","","","Todos os Titulos: Tesouro Prefixado 2025",""
"passed","Sat Apr 09 23:14:26 BRT 2022","Sat Apr 09 23:14:29 BRT 2022","3568","","Testes Site Tesouro Direto","","","","Comece a investir: Video 1",""
"passed","Sat Apr 09 23:13:40 BRT 2022","Sat Apr 09 23:13:53 BRT 2022","13224","","Testes Site Tesouro Direto","","","","Descubra o titulo ideal e simule investimento - Estudantes",""
"passed","Sat Apr 09 23:14:04 BRT 2022","Sat Apr 09 23:14:11 BRT 2022","7217","","Testes Site Tesouro Direto","","","","Validar Titulos em Tabela: Tesouro Selic 2027",""
"passed","Sat Apr 09 23:14:29 BRT 2022","Sat Apr 09 23:14:35 BRT 2022","5623","","Testes Site Tesouro Direto","","","","Validar Video 1",""
"passed","Sat Apr 09 23:13:59 BRT 2022","Sat Apr 09 23:14:04 BRT 2022","4890","","Testes Site Tesouro Direto","","","","Validar Titulos em Tabela: Tesouro Prefixado 2029",""
"passed","Sat Apr 09 23:14:47 BRT 2022","Sat Apr 09 23:14:51 BRT 2022","3823","","Testes Site Tesouro Direto","","","","Comece a investir: Video 3",""
"passed","Sat Apr 09 23:14:35 BRT 2022","Sat Apr 09 23:14:40 BRT 2022","5210","","Testes Site Tesouro Direto","","","","Comece a investir: Video 2",""
